iter	RMSE
417	1017.580427
418	1016.004853
419	1014.303166
420	1013.115202
421	1010.765119
422	1009.595393
423	1007.46375
424	1004.332671
425	1000.205877
426	996.6664616
427	993.8339913
428	988.4329774
429	986.3440918
430	983.3672072
431	980.2132166
432	977.5737695
433	976.1829685
434	973.232255
435	970.3774008
436	968.4840544
437	967.9294663
438	964.3402729
439	963.0808842
440	961.7744754
441	959.802222
442	958.4176299
443	957.9371445
444	956.2857444
445	953.2196424
446	951.1184277
447	950.048191
448	949.022843
449	946.9833941
450	943.3227616
451	940.860748
452	939.6240444
453	939.4743779
454	938.2802274
455	936.9302466
456	935.2752578
457	930.794881
458	929.795587
459	929.2404825
460	926.8892
461	923.9595593
462	923.5320653
463	923.1790213
464	922.0696613
465	920.8298048
466	919.3183152
467	916.7210149
468	914.6856627
469	913.2486687
470	911.8256213
471	910.2301467
472	908.8723333
473	907.6413412
474	907.5209878
475	905.5225746
476	903.556108
477	901.1851764
478	898.4587386
479	897.6647312
480	894.8823194
481	892.3007102
482	891.2143424
483	890.3064468
484	889.1718005
485	887.1835678
486	885.4730031
487	883.601152
488	881.4816462
489	879.4144783
490	878.1054562
491	876.8888809
492	876.5375532
493	872.7337951
494	870.5974011
495	869.1062468
496	868.1583985
497	868.004528
498	864.1729807
499	862.1442213
500	861.9781281
501	861.3882249
502	861.2437971
503	859.3258124
504	858.9737981
505	857.9956545
506	855.1950498
507	853.972232
508	852.9756363
509	852.6716858
510	850.790534
511	850.4630949
512	849.0423198
513	847.0114315
514	844.7455451
515	843.0140596
516	842.7148668
517	839.9536619
518	839.2672693
519	839.1450355
520	838.5978054
521	837.2519289
522	833.8924779
523	833.585633
524	833.4487974
525	831.8119747
526	831.5412525
527	830.4870409
528	829.7026843
529	828.0047141
530	827.7154239
531	826.3481745
532	822.7998208
533	822.5062927
534	819.6908657
535	818.6034541
536	815.9339738
537	815.6701706
538	812.2520308
539	811.9737968
540	810.8407538
541	808.1956307
542	806.8184593
543	806.3386771
544	805.3562744
545	804.0109764
546	802.974885
547	802.7242705
548	801.9864201
549	801.5699833
550	801.382489
551	800.34042
552	798.5413687
553	797.2414315
554	793.7260793
555	792.5210142
556	791.8392183
557	790.8038999
558	790.1505534
559	789.9488752
560	788.2073686
561	786.5334585
562	785.4050821
563	782.079136
564	780.9587007
565	778.9519747
566	777.9802377
567	777.6075535
568	776.6602878
569	773.9465511
570	772.9687306
571	772.8611576
572	772.6086544
573	772.5058641
574	772.4184747
575	771.686433
576	771.5573487
577	771.4707775
578	771.233043
579	769.6774595
580	768.9693852
581	767.4719829
582	766.3724304
583	765.2068828
584	764.1997942
585	763.6912973
586	763.3543798
587	762.1655347
588	761.3370622
589	758.5372067
590	756.2901809
591	755.4848662
592	752.7434904
593	751.0964541
594	750.0321406
595	748.4094744
596	748.1522079
597	747.8285338
598	745.633369
599	743.1271019
600	743.06611
601	742.9769925
602	742.6288816
603	741.135264
604	738.5716758
605	737.4595211
606	737.2342603
607	736.2259057
608	735.0496675
609	732.6898414
610	732.6183813
611	732.2044472
612	731.0936139
613	728.4904636
614	727.5682299
615	725.9258816
616	723.6921249
617	723.6111828
618	721.2022521
619	718.6143664
620	717.3542312
621	716.3737546
622	716.2807065
623	714.982394
624	714.7055872
625	713.7192638
626	713.0249266
627	711.2917206
628	711.2075745
629	710.9235119
630	709.6981581
631	707.2974162
632	706.3260144
633	705.9022493
634	705.5871855
635	704.4061013
636	703.3861726
637	702.4281935
638	702.158083
639	701.8384348
640	701.0100337
641	700.1786144
642	699.6813592
643	697.6666586
644	695.3737114
645	693.4689531
646	692.6680607
647	692.5909659
648	692.3648093
649	691.2200959
650	690.5882767
651	689.8245736
652	689.4891384
653	688.8971612
654	688.0921623
655	687.3585362
656	686.3994214
657	684.0203341
658	683.9286644
659	683.1402596
660	682.4277758
661	681.7440532
662	681.4866388
663	680.9507972
664	680.3310236
665	678.0846972
666	675.9593403
667	675.1789393
668	674.6893329
669	674.0834081
670	673.5083953
671	672.7211822
672	669.9958665
673	669.8749424
674	669.1092665
675	668.9428541
676	668.2599484
677	666.4759003
678	666.259764
679	665.1851761
680	663.5347819
681	663.1702315
682	662.9251055
683	662.6832464
684	662.012234
685	661.1725415
686	658.7543702
687	657.2337255
688	657.1649171
689	656.5088563
690	656.4184871
691	654.6366038
692	654.5630805
693	654.0299541
694	653.3438506
695	652.8375147
696	652.7266852
697	651.8255911
698	651.6053132
699	650.8185241
700	650.7536454
701	648.5267365
702	647.5552467
703	646.9729402
704	645.8348524
705	643.5709617
706	642.678393
707	642.5887293
708	642.2321695
709	641.0702808
710	640.2474862
711	639.6044991
712	637.9367882
713	637.1394554
714	635.9169984
715	635.8752435
716	634.0455558
717	633.9932273
718	633.0460354
719	632.6919419
720	632.2043288
721	631.6034758
722	629.4792904
723	629.3619959
724	627.5491273
725	626.4146679
726	625.8085209
727	623.8366045
728	623.6454195
729	622.0420019
730	621.5593954
731	620.8076764
732	619.2209303
733	618.4731532
734	617.6792288
735	617.0281863
736	615.7915817
737	615.0333305
738	613.2940876
739	611.7811865
740	610.2316781
741	609.5591535
742	609.1206865
743	607.7054404
744	607.1240741
745	606.3987741
746	606.3448783
747	606.173684
748	604.3892333
749	602.8435783
750	601.8491418
751	600.8505045
752	600.6532701
753	600.4418676
754	599.902447
755	599.1766635
756	597.5026224
757	597.4490282
758	596.1176307
759	595.1697117
760	594.5007592
761	592.5475533
762	591.97297
763	591.071334
764	589.5147055
765	588.8602655
766	588.0023166
767	587.0130029
768	586.3291258
769	585.715186
770	584.2477872
771	583.4101481
772	581.841664
773	581.2810416
774	581.2252961
775	579.9914647
776	578.6159583
777	578.5648119
778	577.7728761
779	576.5237367
780	576.3625217
781	576.1588476
782	576.0060455
783	575.8370511
784	575.7626679
785	574.1128003
786	572.5182365
787	572.1861516
788	570.6856543
789	569.7836022
790	569.5530925
791	569.0468251
792	568.2165076
793	567.6691279
794	567.6175076
795	566.3017166
796	564.7964353
797	564.0823093
798	563.3547528
799	561.9205801
800	561.8727379
801	560.9870735
802	560.9409292
803	560.4249084
804	559.9021436
805	559.5615253
806	559.2210926
807	558.9555015
808	558.4791235
809	557.7612032
810	557.0481894
811	556.3544161
812	555.8639963
813	555.5419906
814	555.1655328
815	554.6028026
816	554.1578925
817	554.0852748
818	553.4600853
819	552.8448246
820	552.1623286
821	551.6117205
822	551.1396718
823	550.6587161
824	549.5831843
825	549.3641475
826	548.8771311
827	547.4963885
828	546.2607259
829	545.5770263
830	545.0927639
831	544.5391284
832	544.0768553
833	543.0229123
834	542.7096698
835	541.4380114
836	540.8479485
837	539.711362
838	539.2084033
839	538.2791588
840	537.6026135
841	537.1057544
842	536.9592888
843	536.6504361
844	535.5719213
845	534.2077731
846	534.0186353
847	533.7756386
848	533.64237
849	533.0606945
850	532.0937252
851	531.6318629
852	530.6215928
853	529.9089352
854	529.3691903
855	528.7072887
856	528.2908455
857	527.4185672
858	527.2889915
859	526.4906005
860	526.0987495
861	525.1921763
862	524.9153665
863	524.3704757
864	523.7008631
865	523.2542062
866	522.8604783
867	522.7178154
868	522.3131028
869	521.3063843
870	520.29468
871	520.1215941
872	519.2836063
873	518.8710563
874	517.5741151
875	517.4892878
876	517.0032824
877	516.5596328
878	516.3192949
879	515.8878473
880	515.3841195
881	514.687323
882	514.1233957
883	513.5585404
884	512.680203
885	512.2728749
886	512.1689304
887	511.2383831
888	510.7894108
889	510.159339
890	509.1418206
891	508.7233636
892	507.6531447
893	506.3892212
894	505.5619661
895	505.1120041
896	503.8749574
897	502.9530312
898	502.3020531
899	501.3128741
900	500.5319217
901	500.1368349
902	498.8860065
903	498.6573664
904	498.0113486
905	497.7145382
906	496.9452679
907	496.0590971
908	495.5370791
909	494.6306245
910	494.3718693
911	493.4170775
912	493.3729556
913	491.9497652
914	491.0465227
915	490.5272715
916	490.1358968
917	489.7037179
918	488.8595921
919	488.0052493
920	487.0498544
921	486.2808211
922	485.839776
923	485.7765717
924	484.5992818
925	483.8488564
926	483.7879888
927	483.3982348
928	483.0784406
929	482.941552
930	482.4681223
931	481.2733904
932	480.3144004
933	480.0707791
934	479.0560478
935	478.2779609
936	478.0186177
937	477.3820744
938	476.943083
939	476.2082844
940	475.8232032
941	475.4804728
942	475.018633
943	474.5248984
944	473.4274612
945	473.0678561
946	472.5070933
947	471.5425681
948	471.4642671
949	470.8713118
950	470.747255
951	470.5966346
952	469.7949048
953	469.3884862
954	469.3507972
955	468.6027329
956	468.0770487
957	467.5619545
958	466.837258
959	466.1443701
960	465.400372
961	465.0625433
962	464.9337055
963	464.4042047
964	464.0980549
965	463.3990956
966	462.3513187
967	461.9552767
968	461.1220458
969	460.0043936
970	459.5495522
971	459.4047795
972	458.8302888
973	458.0420443
974	457.9048028
975	457.7855696
976	457.4822938
977	456.7008933
978	456.149587
979	455.3779822
980	454.6288005
981	454.5907205
982	454.065682
983	453.547031
984	453.0349444
985	452.4359365
986	452.3274796
987	451.8757352
988	451.4615168
989	451.1450579
990	450.3678207
991	449.1118818
992	448.7963023
993	448.6838434
994	448.2996596
995	448.1886051
996	447.6429027
997	447.1647201
998	446.8013425
999	446.5191034
