,dt,"Концентрат коксующегося угля_Россия марка ОС FCA руб./т, без НДС","Лом_HMS 1/2 80:20, FOB EC Роттердам, $/т","Лом_3А, РФ CPT ж/д Южный ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Сибирский ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Центральный ФО, руб./т, без НДС","ЖРС_Китай Iron ore fines Fe 62%, CFR","Концентрат коксующегося угля_Россия марка КО FCA руб./т, без НДС","ЖРС_Российские окатыши Fe 62-65,5%, SiO2 5,8-8,65, DAP Забайкальск-Манжули, $/т","Лом_HMS 1/2 80:20, FOB США Восток, $/т","Лом_3А, FOB РФ Черное море, $/т","Чугун_FOB Бразилия Север, $/т","Лом_HMS 1/2 80:20, CFR ЮВА, $/т","Концентрат коксующегося угля_Россия марка КС FCA руб./т, без НДС","Лом_3А, РФ FCA ж/д респ. Татарстан, руб./т, без НДС","ЖРС_Российский концентрат Fe 62,5-67,5%, SiO2 0,78-8,51, сухой вес, DAP Забайкальск-Манжули, $/т","Концентрат коксующегося угля_Россия марка К и смеси марок К, КО FCA руб./т, без НДС","Кокс_Россия Урал Сибирь +25, FCA руб./т., без НДС","Лом_3А, РФ FCA ж/д Московский регион, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж+ГЖ FCA руб./т, без НДС","Чугун_FOB Россия Черное море, $/т","ЖРС_Россия аглоруда Fe 52-60%, FCA руб./т, без НДС","ЖРС_Россия концентрат Fe 64-68%, FCA руб./т, без НДС","Чугун_Россия, FCA руб./т, без НДС","Концентрат коксующегося угля_HCC Австралия, $/t FOB","ЖРС_Россия окатыши Fe 62-65,5% FCA руб./т, без НДС","Лом_3А, РФ CPT ж/д Уральский ФО, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж FCA руб./т, без НДС","Лом_HMS 1/2 80:20, CFR Турция, $/т","Концентрат коксующегося угля_Средняя шихта Россия FCA руб./т, без НДС","Концентрат коксующегося угля_Россия марка ГЖ FCA руб./т, без НДС","ЖРС_Средневзвешенная цена окатыши Fe 62-65,5%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена концентрат Fe 64-68%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена аглоруда Fe 52-60%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в аглоруде, Россия FCA руб./т, без НДС",Производство арматуры Сортовой прокат_Арматура,Производство арматуры Сортовой прокат_Катанка,Производство сырья ЖРС_Аглоруда,Производство сырья ЖРС_Концентрат,Производство сырья ЖРС_Окатыши,Производство сырья Концентрат коксующегося угля_Жирные,Производство сырья Концентрат коксующегося угля_Отощающие,Производство сырья Металлизованная продукция_ГБЖ,Производство сырья Рядовой коксующийся уголь_Жирные,Производство сырья Рядовой коксующийся уголь_Отощающие,Производство сырья Сталь_Конвертер,Производство сырья Сталь_Сталь всего,Производство сырья Сталь_Электропечь,ПотреблениеЖРС_Агломерат,ПотреблениеЖРС_Окатыши,ПотреблениеЖРС_Аглоруда,Поставки Сортовой прокат_Арматура,Поставки Сортовой прокат_Катанка,Поставки Концентрат коксующегося угля_Отощающие,Поставки Чугун_Литейный чугун,Поставки ЖРС_Агломерат,Поставки ЖРС_Аглоруда,Поставки ЖРС_Окатыши,Спрос ЖРС_Агломерат,Спрос ЖРС_Аглоруда,Спрос ЖРС_Окатыши,Спрос Концентрат коксующегося угля_Отощающие,Импорт сырья ЖРС_Окатыши,Импорт сырья Концентрат коксующегося угля_Коксовые,Экспорт сырья ЖРС_Концентрат,Экспорт сырья Кокс_Кокс доменный,Экспорт сырья Концентрат коксующегося угля_Коксовые,Экспорт сырья Металлизованная продукция_ГБЖ,Экспорт сырья Чугун_Литейный чугун,Экспорт сырья Чугун_Передельный чугун,Экспорт арматуры Сортовой прокат_Арматура,Экспорт арматуры Сортовой прокат_Катанка,Цена на арматуру
21,2015-06-01,5250.0,263.0,10042.0,9744.0,10315.0,59.0,5200.0,64.0,262.0,250.0,265.0,265.0,4400.0,8990.0,45.0,5700.0,9900.0,9290.0,4800.0,272.0,1250.0,1750.0,12750.0,81.0,2600.0,10383.0,5550.0,283.0,4925.0,3850.0,2594.0,2192.0,1051.0,23.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,23500
22,2015-06-08,5250.0,262.0,10075.0,9586.0,10333.0,62.0,5200.0,65.5,258.0,245.0,265.0,265.0,4400.0,8704.0,46.5,5700.0,9900.0,9299.0,4800.0,270.0,1250.0,1750.0,12750.0,82.0,2600.0,10210.0,5550.0,280.0,4925.0,3850.0,2594.0,1772.0,1170.0,22.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,23800
23,2015-06-15,5150.0,261.0,10485.0,9540.0,10268.0,64.0,5000.0,66.5,258.0,239.0,265.0,265.0,4250.0,8833.0,47.5,5550.0,9400.0,9318.0,4800.0,272.0,1250.0,1950.0,13000.0,83.0,2760.0,10158.0,5400.0,279.0,4838.0,3850.0,2594.0,1772.0,1170.0,22.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,24400
24,2015-06-22,5150.0,261.0,10468.0,8646.0,10225.0,65.0,5000.0,69.0,258.0,242.0,265.0,270.0,4250.0,8812.0,50.0,5550.0,9400.0,9319.0,4800.0,271.0,1250.0,1950.0,13000.0,85.0,2760.0,10156.0,5400.0,279.0,4838.0,3850.0,2594.0,1772.0,1170.0,22.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,25000
25,2015-06-29,5150.0,257.0,10488.0,8816.0,10232.0,62.0,5000.0,66.0,255.0,239.0,265.0,270.0,4250.0,8867.0,47.0,5550.0,9400.0,9334.0,4800.0,268.0,1250.0,1950.0,13000.0,87.0,2760.0,10122.0,5400.0,273.0,4838.0,3850.0,2594.0,1772.0,1170.0,22.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,25300
26,2015-07-06,5150.0,237.0,10482.0,8801.0,10245.0,61.0,5000.0,64.5,236.0,229.0,265.0,270.0,4250.0,8818.0,45.5,5550.0,9400.0,9432.0,4800.0,266.0,1250.0,1950.0,13000.0,88.0,2760.0,10099.0,5400.0,266.0,4838.0,3850.0,2756.0,1991.0,1180.0,22.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,25500
27,2015-07-13,4150.0,224.0,10605.0,8805.0,10417.0,58.0,4000.0,63.5,225.0,223.0,265.0,248.0,3300.0,8877.0,44.5,4550.0,9050.0,9599.0,4500.0,259.0,1180.0,2125.0,13000.0,87.0,3025.0,10115.0,4400.0,252.0,4108.0,3525.0,2756.0,1991.0,1180.0,22.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,25500
28,2015-07-20,4150.0,219.0,10791.0,8907.0,10682.0,49.0,4000.0,57.5,213.0,212.0,265.0,248.0,3300.0,8963.0,38.5,4550.0,9050.0,9943.0,4500.0,255.0,1180.0,2125.0,13000.0,87.0,3025.0,10072.0,4400.0,240.0,4108.0,3525.0,2756.0,1991.0,1180.0,22.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,25400
29,2015-07-27,4150.0,201.0,10867.0,8745.0,10880.0,50.0,4000.0,58.0,201.0,194.0,265.0,231.0,3300.0,8993.0,39.0,4550.0,9050.0,10141.0,4500.0,245.0,1180.0,2125.0,13000.0,84.0,3025.0,10014.0,4400.0,225.0,4108.0,3525.0,2756.0,1991.0,1180.0,22.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,25200
30,2015-08-03,4150.0,201.0,10996.0,8646.0,10883.0,52.0,4000.0,59.0,201.0,203.0,265.0,225.0,3300.0,8939.0,40.0,4550.0,9050.0,10141.0,4500.0,245.0,1180.0,2125.0,13000.0,80.0,3025.0,10013.0,4400.0,227.0,4108.0,3525.0,3008.0,2144.0,1093.0,21.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,25000
31,2015-08-10,4150.0,208.0,11068.0,8896.0,10838.0,54.0,4000.0,61.5,205.0,208.0,265.0,218.0,3300.0,8830.0,42.5,4550.0,9050.0,10143.0,4500.0,240.0,1180.0,1900.0,13000.0,79.0,2750.0,9974.0,4400.0,233.0,4108.0,3525.0,3008.0,2144.0,1093.0,21.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,24700
32,2015-08-17,4150.0,215.0,11059.0,8990.0,10840.0,56.0,4000.0,63.5,211.0,208.0,255.0,218.0,3300.0,8770.0,43.5,4550.0,8800.0,10087.0,4200.0,245.0,1155.0,1900.0,13000.0,83.0,2750.0,9934.0,4400.0,240.0,4001.0,3300.0,3008.0,2144.0,1093.0,21.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,24400
33,2015-08-24,4150.0,211.0,11078.0,9007.0,10823.0,56.0,4000.0,63.5,215.0,212.0,255.0,220.0,3300.0,8755.0,43.5,4550.0,8800.0,10106.0,4200.0,245.0,1155.0,1900.0,13000.0,83.0,2750.0,9960.0,4400.0,243.0,4001.0,3300.0,3008.0,2144.0,1093.0,21.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,24100
34,2015-08-31,4150.0,204.0,11010.0,8863.0,10853.0,56.0,4000.0,63.5,210.0,212.0,250.0,220.0,3300.0,8795.0,43.5,4550.0,8800.0,10137.0,4200.0,240.0,1155.0,1900.0,13000.0,81.0,2750.0,9953.0,4400.0,236.0,4001.0,3300.0,3008.0,2144.0,1093.0,21.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,24100
35,2015-09-07,4150.0,211.0,11044.0,9086.0,10841.0,54.0,4000.0,62.5,215.0,207.0,248.0,220.0,3300.0,8862.0,42.0,4550.0,8800.0,10178.0,4200.0,235.0,1155.0,1900.0,13000.0,81.0,2750.0,10004.0,4400.0,231.0,4001.0,3300.0,2745.0,1910.0,1098.0,21.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,23900
36,2015-09-14,4150.0,201.0,11159.0,9299.0,10961.0,56.0,4000.0,63.5,200.0,202.0,236.0,210.0,3300.0,8939.0,43.0,4550.0,8800.0,10233.0,4200.0,230.0,1155.0,2000.0,14000.0,81.0,2900.0,10232.0,4400.0,220.0,4001.0,3300.0,2745.0,1910.0,1098.0,21.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,24200
37,2015-09-21,4150.0,184.0,11210.0,9282.0,10946.0,58.0,4000.0,64.5,189.0,183.0,236.0,205.0,3300.0,8923.0,44.0,4550.0,8800.0,10212.0,4200.0,210.0,1155.0,2000.0,14000.0,81.0,2900.0,10374.0,4400.0,206.0,4001.0,3300.0,2745.0,1910.0,1098.0,21.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,24200
38,2015-09-28,4150.0,180.0,11237.0,9206.0,10949.0,57.0,4000.0,64.0,188.0,181.0,236.0,205.0,3300.0,8887.0,43.0,4550.0,8800.0,10201.0,4200.0,210.0,1155.0,2000.0,14000.0,81.0,2900.0,10411.0,4400.0,202.0,4001.0,3300.0,2745.0,1910.0,1098.0,21.0,527.0,208.0,376.0,9063.0,3691.0,2448.0,272.0,243.0,3886.0,931.0,3803.0,5543.0,1636.0,383.0,2141.0,301.0,430.0,141.0,49.0,2.0,384.0,301.0,2006.0,384.0,301.0,2142.0,49.0,136.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,68.0,24000
