,Цена на арматуру,Курс доллара,Производство арматуры Сортовой прокат_Арматура,Производство арматуры Сортовой прокат_Катанка,Производство сырья ЖРС_Аглоруда,Производство сырья ЖРС_Концентрат,Производство сырья ЖРС_Окатыши,Производство сырья Концентрат коксующегося угля_Жирные,Производство сырья Концентрат коксующегося угля_Отощающие,Производство сырья Металлизованная продукция_ГБЖ,Производство сырья Металлизованная продукция_ПВЖ,Производство сырья Рядовой коксующийся уголь_Газовые,Производство сырья Рядовой коксующийся уголь_Жирные,Производство сырья Рядовой коксующийся уголь_Отощающие,Производство сырья Сталь_Конвертер,Производство сырья Сталь_Сталь всего,Производство сырья Сталь_Электропечь,Производство сырья Чугун_Чугун,ПотреблениеЖРС_Агломерат,ПотреблениеЖРС_Окатыши,ПотреблениеЖРС_Аглоруда,Поставки Сортовой прокат_Арматура,Поставки Сортовой прокат_Катанка,Поставки Сортовой прокат_Прутки прочие,Поставки Концентрат коксующегося угля_Отощающие,Поставки Чугун_Литейный чугун,Поставки Чугун_Передельный чугун,Поставки ЖРС_Агломерат,Поставки ЖРС_Аглоруда,Поставки ЖРС_Окатыши,Спрос ЖРС_Агломерат,Спрос ЖРС_Аглоруда,Спрос ЖРС_Окатыши,Спрос Концентрат коксующегося угля_Отощающие,Импорт сырья ЖРС_Окатыши,Импорт сырья Концентрат коксующегося угля_Коксовые,Импорт арматуры Сортовой прокат_Катанка,Импорт арматуры Сортовой прокат_Прутки прочие,Экспорт сырья ЖРС_Концентрат,Экспорт сырья Кокс_Кокс доменный,Экспорт сырья Концентрат коксующегося угля_Коксовые,Экспорт сырья Металлизованная продукция_ГБЖ,Экспорт сырья Чугун_Литейный чугун,Экспорт сырья Чугун_Передельный чугун,Экспорт арматуры Сортовой прокат_Арматура,Экспорт арматуры Сортовой прокат_Катанка,"Концентрат коксующегося угля_Россия марка ОС FCA руб./т, без НДС","Лом_HMS 1/2 80:20, FOB EC Роттердам, $/т","Лом_3А, РФ CPT ж/д Южный ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Сибирский ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Центральный ФО, руб./т, без НДС","ЖРС_Китай Iron ore fines Fe 62%, CFR","Чугун_CFR Италия, $/т","Концентрат коксующегося угля_Россия марка КО FCA руб./т, без НДС","ЖРС_Российские окатыши Fe 62-65,5%, SiO2 5,8-8,65, DAP Забайкальск-Манжули, $/т","Лом_3А, РФ CPT авто Центральный ФО, руб./т, без НДС","Лом_3А, РФ CPT авто Уральский ФО, руб./т, без НДС","Лом_HMS 1/2 80:20, FOB США Восток, $/т","Лом_3А, FOB РФ Черное море, $/т","Чугун_FOB Бразилия Север, $/т","Лом_3А, РФ CPT авто Южный ФО, руб./т, без НДС","Лом_HMS 1/2 80:20, CFR ЮВА, $/т","Концентрат коксующегося угля_Россия марка КС FCA руб./т, без НДС","ГБЖ_Россия, FCA руб./т, без НДС","Лом_3А, РФ FCA ж/д респ. Татарстан, руб./т, без НДС","ЖРС_Российский концентрат Fe 62,5-67,5%, SiO2 0,78-8,51, сухой вес, DAP Забайкальск-Манжули, $/т","Концентрат коксующегося угля_Россия марка К и смеси марок К, КО FCA руб./т, без НДС","Чугун_FOB Россия Дальневосточные порты, $/т","Кокс_Россия Урал Сибирь +25, FCA руб./т., без НДС","Лом_3А, РФ FCA ж/д Московский регион, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж+ГЖ FCA руб./т, без НДС","Чугун_FOB Россия Черное море, $/т","ЖРС_Россия аглоруда Fe 52-60%, FCA руб./т, без НДС","ЖРС_Россия концентрат Fe 64-68%, FCA руб./т, без НДС","Чугун_Россия, FCA руб./т, без НДС","Концентрат коксующегося угля_HCC Австралия, $/t FOB","ЖРС_Россия окатыши Fe 62-65,5% FCA руб./т, без НДС","ГБЖ_CFR Италия, $/т","Лом_3А, РФ CPT ж/д Уральский ФО, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж FCA руб./т, без НДС","Лом_HMS 1/2 80:20, CFR Турция, $/т","Чугун_CFR Китай, $/т","Концентрат коксующегося угля_Средняя шихта Россия FCA руб./т, без НДС","Концентрат коксующегося угля_Россия марка ГЖ FCA руб./т, без НДС","Чугун_CFR NOLA США, $/т","Чугун_CFR Турция, $/т","ЖРС_Средневзвешенная цена окатыши Fe 62-65,5%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена концентрат Fe 64-68%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена аглоруда Fe 52-60%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в аглоруде, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в концентрате, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в окатыши, Россия FCA руб./т, без НДС","ЖРС_Украинский концентрат Fe 65-68%,  DAP граница Украины с Европой,  $/т","ЖРС_Украинские окатыши Fe 65-66%, DAP граница Украины с Европой,  $/т",Импорт цемента ЖД,Экспорт цемента ЖД,Отгрузка цемента хоппер ЖД,Отгрузка цемента остальные ЖД,Производство цемента,Импорт цемента,Экспорт цемента,Потребление цемента,Отгрузка цемента,Цена цемента с НДС,Цена цемента без НДС,Производство бетона РФ,Производство бетона МО,Производство бетона СПБ,Цена на бензин,Цена на дт
10,28700,,563,231,343,8850,3450,2314,279,229,248,347,3759,1176,3653,5527,1795,4227,371,2226,323,447,151,160,33,1,42,371,323,2032,371,323,2226,33,194,23,,,0,0,0,0,0,0,118,79,4400,232,12916,12061,12964,61,,4050.0,70.0,,,229,221,275,,248,3750,,11774,51.0,4700,,8750,12020,4100,265,1345.0,2425.0,15250,103,3500.0,,12183,4700.0,257,,4164,3525.0,,,3540.0,2097.0,1261.0,23.0,,,,,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181,36.11,36.58
11,27800,,563,231,343,8850,3450,2314,279,229,248,347,3759,1176,3653,5527,1795,4227,371,2226,323,447,151,160,33,1,42,371,323,2032,371,323,2226,33,194,23,,,0,0,0,0,0,0,118,79,4400,229,12883,11893,12812,58,,4050.0,67.0,,,231,223,265,,248,3750,,11733,48.0,4700,,8750,12093,4100,263,1345.0,2425.0,15250,102,3500.0,,12140,4700.0,256,,4164,3525.0,,,3540.0,2097.0,1261.0,23.0,,,,,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181,36.11,36.58
12,27200,,563,231,343,8850,3450,2314,279,229,248,347,3759,1176,3653,5527,1795,4227,371,2226,323,447,151,160,33,1,42,371,323,2032,371,323,2226,33,194,23,,,0,0,0,0,0,0,118,79,4400,230,12753,11945,12694,56,,4050.0,65.0,,,230,220,263,,253,3750,,11540,46.0,4700,,8750,11763,4100,263,1345.0,2425.0,15250,101,3500.0,,12139,4700.0,254,,4164,3525.0,,,3540.0,2097.0,1261.0,23.0,,,,,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181,36.11,36.58
13,26600,,563,231,343,8850,3450,2314,279,229,248,347,3759,1176,3653,5527,1795,4227,371,2226,323,447,151,160,33,1,42,371,323,2032,371,323,2226,33,194,23,,,0,0,0,0,0,0,118,79,4400,231,12521,11853,12569,55,,4050.0,63.5,,,233,221,269,,254,3750,,11579,44.5,4700,,8750,11719,4100,261,1345.0,2425.0,15250,98,3500.0,,12113,4700.0,256,,4164,3525.0,,,3601.0,2322.0,1267.0,23.0,,,,,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181,36.11,36.58
14,25700,,563,231,343,8850,3450,2314,279,229,248,347,3759,1176,3653,5527,1795,4227,371,2226,323,447,151,160,33,1,42,371,323,2032,371,323,2226,33,194,23,,,0,0,0,0,0,0,118,79,4400,235,12395,11785,12421,50,,4050.0,58.0,,,236,229,265,,258,3750,,11378,39.0,4700,,8750,11250,4100,264,1250.0,2175.0,13250,95,3200.0,,12369,4700.0,262,,4941,3525.0,,,3601.0,2322.0,1267.0,23.0,,,,,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181,36.11,36.58
15,24800,,563,231,343,8850,3450,2314,279,229,248,347,3759,1176,3653,5527,1795,4227,371,2226,323,447,151,160,33,1,42,371,323,2032,371,323,2226,33,194,23,,,0,0,0,0,0,0,118,79,5350,238,12220,11327,12146,48,,5200.0,57.5,,,236,229,265,,258,4400,,11056,38.5,5700,,10350,11327,4800,260,1250.0,2175.0,13250,92,3200.0,,12324,5550.0,263,,4941,3850.0,,,3601.0,2322.0,1267.0,23.0,,,,,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181,36.11,36.58
16,24700,,563,231,343,8850,3450,2314,279,229,248,347,3759,1176,3653,5527,1795,4227,371,2226,323,447,151,160,33,1,42,371,323,2032,371,323,2226,33,194,23,,,0,0,0,0,0,0,118,79,5350,245,11830,11050,11716,50,,5200.0,58.5,,,241,238,265,,258,4400,,10613,39.5,5700,,10350,10555,4800,260,1250.0,2175.0,13250,90,3200.0,,12109,5550.0,267,,4941,3850.0,,,3601.0,2322.0,1267.0,23.0,,,,,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181,36.11,36.58
17,24300,,563,231,343,8850,3450,2314,279,229,248,347,3759,1176,3653,5527,1795,4227,371,2226,323,447,151,160,33,1,42,371,323,2032,371,323,2226,33,194,23,,,0,0,0,0,0,0,118,79,5350,250,11083,11091,11035,54,,5200.0,61.0,,,248,243,270,,258,4400,,10456,42.0,5700,,10350,10066,4800,264,1250.0,2175.0,13250,88,3200.0,,11705,5550.0,274,,4941,3850.0,,,3601.0,2322.0,1267.0,23.0,,,,,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181,36.11,36.58
18,23900,,563,231,343,8850,3450,2314,279,229,248,347,3759,1176,3653,5527,1795,4227,371,2226,323,447,151,160,33,1,42,371,323,2032,371,323,2226,33,194,23,,,0,0,0,0,0,0,118,79,5350,251,10714,11167,10865,58,,5200.0,62.5,,,249,244,265,,258,4400,,9996,43.5,5700,,10350,9758,4800,263,1250.0,2175.0,13250,86,3200.0,,10970,5550.0,276,,4925,3850.0,,,3376.0,2192.0,1051.0,23.0,,,,,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181,36.11,36.58
19,24000,,563,231,343,8850,3450,2314,279,229,248,347,3759,1176,3653,5527,1795,4227,371,2226,323,447,151,160,33,1,42,371,323,2032,371,323,2226,33,194,23,,,0,0,0,0,0,0,118,79,5250,259,10558,11270,10463,60,,5200.0,64.0,,,257,252,263,,260,4400,,9371,45.0,5700,,9900,9432,4800,270,1250.0,1750.0,12750,82,2600.0,,10589,5550.0,285,,4925,3850.0,,,3376.0,2192.0,1051.0,23.0,,,,,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181,36.11,36.58
20,23700,,563,231,343,8850,3450,2314,279,229,248,347,3759,1176,3653,5527,1795,4227,371,2226,323,447,151,160,33,1,42,371,323,2032,371,323,2226,33,194,23,,,0,0,0,0,0,0,118,79,5250,265,10269,10723,10454,62,,5200.0,65.0,,,264,255,263,,265,4400,,9234,46.0,5700,,9900,9386,4800,270,1250.0,1750.0,12750,82,2600.0,,10539,5550.0,288,,4925,3850.0,,,3376.0,2192.0,1051.0,23.0,,,,,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181,36.11,36.58
21,23500,,563,231,343,8850,3450,2314,279,229,248,347,3759,1176,3653,5527,1795,4227,371,2226,323,447,151,160,33,1,42,371,323,2032,371,323,2226,33,194,23,,,0,0,0,0,0,0,118,79,5250,263,10042,9744,10315,59,,5200.0,64.0,,,262,250,265,,265,4400,,8990,45.0,5700,,9900,9290,4800,272,1250.0,1750.0,12750,81,2600.0,,10383,5550.0,283,,4925,3850.0,,,2594.0,2192.0,1051.0,23.0,,,,,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181,36.11,36.58
22,23800,,563,231,343,8850,3450,2314,279,229,248,347,3759,1176,3653,5527,1795,4227,371,2226,323,447,151,160,33,1,42,371,323,2032,371,323,2226,33,194,23,,,0,0,0,0,0,0,118,79,5250,262,10075,9586,10333,62,,5200.0,65.5,,,258,245,265,,265,4400,,8704,46.5,5700,,9900,9299,4800,270,1250.0,1750.0,12750,82,2600.0,,10210,5550.0,280,,4925,3850.0,,,2594.0,1772.0,1170.0,22.0,,,,,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181,36.11,36.58
23,24400,,563,231,343,8850,3450,2314,279,229,248,347,3759,1176,3653,5527,1795,4227,371,2226,323,447,151,160,33,1,42,371,323,2032,371,323,2226,33,194,23,,,0,0,0,0,0,0,118,79,5150,261,10485,9540,10268,64,,5000.0,66.5,,,258,239,265,,265,4250,,8833,47.5,5550,,9400,9318,4800,272,1250.0,1950.0,13000,83,2760.0,,10158,5400.0,279,,4838,3850.0,,,2594.0,1772.0,1170.0,22.0,,,,,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181,36.11,36.58
24,25000,,563,231,343,8850,3450,2314,279,229,248,347,3759,1176,3653,5527,1795,4227,371,2226,323,447,151,160,33,1,42,371,323,2032,371,323,2226,33,194,23,,,0,0,0,0,0,0,118,79,5150,261,10468,8646,10225,65,,5000.0,69.0,,,258,242,265,,270,4250,,8812,50.0,5550,,9400,9319,4800,271,1250.0,1950.0,13000,85,2760.0,,10156,5400.0,279,,4838,3850.0,,,2594.0,1772.0,1170.0,22.0,,,,,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181,36.11,36.58
25,25300,,563,231,343,8850,3450,2314,279,229,248,347,3759,1176,3653,5527,1795,4227,371,2226,323,447,151,160,33,1,42,371,323,2032,371,323,2226,33,194,23,,,0,0,0,0,0,0,118,79,5150,257,10488,8816,10232,62,,5000.0,66.0,,,255,239,265,,270,4250,,8867,47.0,5550,,9400,9334,4800,268,1250.0,1950.0,13000,87,2760.0,,10122,5400.0,273,,4838,3850.0,,,2594.0,1772.0,1170.0,22.0,,,,,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181,36.11,36.58
26,25500,,563,231,343,8850,3450,2314,279,229,248,347,3759,1176,3653,5527,1795,4227,371,2226,323,447,151,160,33,1,42,371,323,2032,371,323,2226,33,194,23,,,0,0,0,0,0,0,118,79,5150,237,10482,8801,10245,61,,5000.0,64.5,,,236,229,265,,270,4250,,8818,45.5,5550,,9400,9432,4800,266,1250.0,1950.0,13000,88,2760.0,,10099,5400.0,266,,4838,3850.0,,,2756.0,1991.0,1180.0,22.0,,,,,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181,36.11,36.58
