iron_concentrate_ukraine_dollar_tonn_ship_dap,iron_pellets_russia_east_dollar_tonn_dap,iron_concentrate_weighted_average_percent_russia_rub_tonn_ship_fca,iron_pellets_weighted_average_percent_russia_rub_tonn_ship_fca,iron_concentrate_russia_rub_tonn_ship_fca,iron_china_ship_cfr,iron_concentrate_russia_east_dollar_tonn_ship_dap,iron_itally_dollar_tonn_ship_cfr,iron_pellets_ukraine_dollar_tonn_ship_dap,iron_pellets_weighted_average_russia_rub_tonn_ship_fca,iron_concentrate_weighted_average_russia_rub_tonn_ship_fca,iron_pellets_russia_rub_tonn_ship_fca,iron_agloruda_weighted_average_percent_russia_rub_tonn_ship_fca,iron_agloruda_weighted_average_percent_russia_rub_tonn_ship_fca,iron_agloruda_russia_rub_tonn_ship_fca,iron_russia_rub_tonn_ship_fca,dt
,65.5,,,1750.0,62,46.5,,,2594.0,1772.0,2600.0,1170.0,22.0,1250.0,,2015-06-01
,66.5,,,1950.0,64,47.5,,,2594.0,1772.0,2760.0,1170.0,22.0,1250.0,,2015-06-08
,69.0,,,1950.0,65,50.0,,,2594.0,1772.0,2760.0,1170.0,22.0,1250.0,,2015-06-15
,66.0,,,1950.0,62,47.0,,,2594.0,1772.0,2760.0,1170.0,22.0,1250.0,,2015-06-22
,64.5,,,1950.0,61,45.5,,,2756.0,1991.0,2760.0,1180.0,22.0,1250.0,,2015-06-29
,63.5,,,2125.0,58,44.5,,,2756.0,1991.0,3025.0,1180.0,22.0,1180.0,,2015-07-06
,57.5,,,2125.0,49,38.5,,,2756.0,1991.0,3025.0,1180.0,22.0,1180.0,,2015-07-13
,58.0,,,2125.0,50,39.0,,,2756.0,1991.0,3025.0,1180.0,22.0,1180.0,,2015-07-20
,59.0,,,2125.0,52,40.0,,,3008.0,2144.0,3025.0,1093.0,21.0,1180.0,,2015-07-27
,61.5,,,1900.0,54,42.5,,,3008.0,2144.0,2750.0,1093.0,21.0,1180.0,,2015-08-03
,63.5,,,1900.0,56,43.5,,,3008.0,2144.0,2750.0,1093.0,21.0,1155.0,,2015-08-10
,63.5,,,1900.0,56,43.5,,,3008.0,2144.0,2750.0,1093.0,21.0,1155.0,,2015-08-17
,63.5,,,1900.0,56,43.5,,,3008.0,2144.0,2750.0,1093.0,21.0,1155.0,,2015-08-24
,62.5,,,1900.0,54,42.0,,,2745.0,1910.0,2750.0,1098.0,21.0,1155.0,,2015-08-31
,63.5,,,2000.0,56,43.0,,,2745.0,1910.0,2900.0,1098.0,21.0,1155.0,,2015-09-07
,64.5,,,2000.0,58,44.0,,,2745.0,1910.0,2900.0,1098.0,21.0,1155.0,,2015-09-14
,64.0,,,2000.0,57,43.0,,,2745.0,1910.0,2900.0,1098.0,21.0,1155.0,,2015-09-21
,64.0,,,2000.0,57,43.0,,,2949.0,2018.0,2900.0,1107.0,22.0,1155.0,,2015-09-28
,62.0,,,2150.0,55,41.0,,,2949.0,2018.0,3225.0,1107.0,22.0,1155.0,,2015-10-05
,62.0,,,2150.0,55,41.0,,,2949.0,2018.0,3225.0,1107.0,22.0,1155.0,,2015-10-12
,62.0,,,2150.0,55,41.0,,,2949.0,2018.0,3225.0,1107.0,22.0,1155.0,,2015-10-19
,59.0,,,2150.0,52,38.5,,,3307.0,2178.0,3225.0,1099.0,22.0,1155.0,,2015-10-26
,58.0,,,2150.0,50,37.5,,,3307.0,2178.0,3225.0,1099.0,22.0,1155.0,,2015-11-02
,59.5,,,2150.0,48,42.5,,,3307.0,2178.0,3225.0,1099.0,22.0,1155.0,,2015-11-09
,57.5,,,2150.0,48,40.5,,,3307.0,2178.0,3225.0,1099.0,22.0,1155.0,,2015-11-16
,54.5,,,2150.0,46,37.5,,,3307.0,2178.0,3225.0,1099.0,22.0,1155.0,,2015-11-23
,51.5,,,2150.0,44,34.5,,,3150.0,2112.0,3225.0,1125.0,22.0,1155.0,,2015-11-30
,52.5,,,1925.0,41,37.5,,,3150.0,2112.0,2825.0,1125.0,22.0,1155.0,,2015-12-07
,50.5,,,1925.0,39,35.5,,,3150.0,2112.0,2825.0,1125.0,22.0,1155.0,,2015-12-14
,51.5,,,1925.0,39,36.5,,,3150.0,2112.0,2825.0,1125.0,22.0,1155.0,,2015-12-21
,52.5,,,1925.0,40,37.5,,,2826.0,1884.0,2825.0,1115.0,22.0,1155.0,,2015-12-28
,54.5,,,1925.0,42,39.5,,,2826.0,1884.0,2825.0,1115.0,22.0,1155.0,,2016-01-04
,54.5,,,1650.0,42,39.5,,,2826.0,1884.0,2525.0,1115.0,22.0,1155.0,,2016-01-11
,53.5,,,1650.0,40,38.5,,,2826.0,1884.0,2525.0,1115.0,22.0,1130.0,,2016-01-18
,54.0,,,1650.0,42,39.0,,,2826.0,1884.0,2525.0,1115.0,22.0,1130.0,,2016-01-25
,54.0,,,1650.0,42,39.0,,,2456.0,1751.0,2525.0,1134.0,22.0,1130.0,,2016-02-01
,48.5,,,1725.0,44,35.5,,,2456.0,1751.0,2525.0,1134.0,22.0,1130.0,,2016-02-08
,48.5,,,1725.0,44,35.5,,,2456.0,1751.0,2525.0,1134.0,22.0,1130.0,,2016-02-15
,50.0,,,1725.0,47,38.0,,,2456.0,1751.0,2525.0,1134.0,22.0,1130.0,,2016-02-22
,53.0,,,1725.0,50,40.0,,,2596.0,1828.0,2525.0,1077.0,21.0,1130.0,,2016-02-29
,57.5,,,1875.0,51,44.5,,,2596.0,1828.0,2850.0,1077.0,21.0,1130.0,,2016-03-07
,61.0,,,1875.0,60,48.0,,,2596.0,1828.0,2850.0,1077.0,21.0,1130.0,,2016-03-14
,60.0,,,1875.0,55,47.0,,,2596.0,1828.0,2850.0,1077.0,21.0,1130.0,,2016-03-21
,61.0,,,1875.0,57,48.0,,,2818.0,2001.0,2850.0,1074.0,21.0,1130.0,,2016-03-28
,63.0,,,1875.0,54,47.0,,,2818.0,2001.0,2850.0,1074.0,21.0,1130.0,,2016-04-04
,63.0,,,2275.0,54,47.0,,,2818.0,2001.0,3325.0,1074.0,21.0,1250.0,,2016-04-11
,66.5,,,2275.0,59,49.5,,,2818.0,2001.0,3325.0,1074.0,21.0,1250.0,,2016-04-18
,69.5,,,2275.0,65,52.5,,,2818.0,2001.0,3325.0,1074.0,21.0,1250.0,,2016-04-25
,69.0,,,2275.0,64,52.0,,,3506.0,2304.0,3325.0,1119.0,22.0,1250.0,,2016-05-02
,67.5,,,2250.0,60,51.0,,,3506.0,2304.0,3275.0,1119.0,22.0,1250.0,,2016-05-09
,65.0,,,2250.0,55,48.5,,,3506.0,2304.0,3275.0,1119.0,22.0,1250.0,,2016-05-16
,65.0,,,2250.0,55,48.5,,,3506.0,2304.0,3275.0,1119.0,22.0,1250.0,,2016-05-23
,60.0,,,2250.0,51,46.5,,,3434.0,2284.0,3275.0,1149.0,22.0,1250.0,,2016-05-30
,60.0,,,2375.0,51,46.5,,,3434.0,2284.0,3350.0,1149.0,22.0,1250.0,,2016-06-06
,68.5,,,2375.0,52,50.5,,,3434.0,2284.0,3350.0,1149.0,22.0,1250.0,,2016-06-13
,68.0,,,2375.0,51,50.0,,,3434.0,2284.0,3350.0,1149.0,22.0,1250.0,,2016-06-20
,68.0,,,2375.0,51,50.0,,,3541.0,2373.0,3350.0,1157.0,22.0,1250.0,,2016-06-27
,69.0,,,2375.0,54,51.5,,,3541.0,2373.0,3350.0,1157.0,22.0,1250.0,,2016-07-04
,62.5,,,2025.0,56,45.0,,,3541.0,2373.0,3075.0,1157.0,22.0,1250.0,,2016-07-11
,63.5,,,2025.0,58,46.0,,,3541.0,2373.0,3075.0,1157.0,22.0,1250.0,,2016-07-18
,62.5,,,2025.0,56,45.0,,,3541.0,2373.0,3075.0,1157.0,22.0,1250.0,,2016-07-25
,63.5,,,2025.0,59,46.5,,,2930.0,1987.0,3075.0,1146.0,23.0,1250.0,,2016-08-01
,69.0,,,2050.0,60,52.5,,,2930.0,1987.0,3225.0,1146.0,23.0,1235.0,,2016-08-08
,69.5,,,2050.0,61,53.0,,,2930.0,1987.0,3225.0,1146.0,23.0,1235.0,,2016-08-15
,69.5,,,2050.0,61,53.0,,,2930.0,1987.0,3225.0,1146.0,23.0,1235.0,,2016-08-22
,69.5,,,2050.0,61,53.0,,,3232.0,2123.0,3225.0,1198.0,23.0,1235.0,,2016-08-29
,70.0,,,2350.0,59,53.0,,,3232.0,2123.0,3525.0,1198.0,23.0,1235.0,,2016-09-05
,70.0,,,2350.0,59,53.0,,,3232.0,2123.0,3525.0,1198.0,23.0,1235.0,,2016-09-12
,68.0,,,2350.0,56,51.0,,,3232.0,2123.0,3525.0,1198.0,23.0,1235.0,,2016-09-19
,68.0,,,2350.0,56,51.0,,,3567.0,2298.0,3525.0,1097.0,22.0,1235.0,,2016-09-26
,69.0,,,2350.0,56,51.0,,,3567.0,2298.0,3525.0,1097.0,22.0,1235.0,,2016-10-03
,70.0,,,2375.0,55,53.0,,,3567.0,2298.0,3435.0,1097.0,22.0,1135.0,,2016-10-10
,71.5,,,2375.0,57,54.0,,,3567.0,2298.0,3435.0,1097.0,22.0,1135.0,,2016-10-17
,73.5,,,2375.0,59,55.0,,,3567.0,2298.0,3435.0,1097.0,22.0,1135.0,,2016-10-24
,74.5,,,2375.0,62,55.5,,,3509.0,2330.0,3435.0,1049.0,22.0,1135.0,,2016-10-31
,76.5,,,2425.0,65,57.5,,,3509.0,2330.0,3300.0,1049.0,22.0,1135.0,,2016-11-07
,77.5,,,2425.0,72,59.5,,,3509.0,2330.0,3300.0,1049.0,22.0,1135.0,,2016-11-14
,78.5,,,2425.0,74,60.5,,,3509.0,2330.0,3300.0,1049.0,22.0,1135.0,,2016-11-21
,79.5,,,2425.0,76,61.5,,,3303.0,2129.0,3300.0,1079.0,22.0,1135.0,,2016-11-28
,83.0,,,3175.0,77,67.0,,,3303.0,2129.0,4600.0,1079.0,22.0,1135.0,,2016-12-05
,87.0,,,3175.0,81,70.0,,,3303.0,2129.0,4600.0,1079.0,22.0,1135.0,,2016-12-12
,88.0,,,3175.0,82,70.5,,,3303.0,2129.0,4600.0,1079.0,22.0,1135.0,,2016-12-19
,86.0,,,3175.0,80,69.5,,,3848.0,2696.0,4600.0,1107.0,22.0,1135.0,,2016-12-26
,86.0,,,3175.0,80,69.5,,,3848.0,2696.0,4600.0,1107.0,22.0,1135.0,,2017-01-02
,104.0,,,3975.0,78,83.0,,,3848.0,2696.0,5200.0,1107.0,22.0,1360.0,15100.0,2017-01-09
,104.0,,,3975.0,80,84.0,,,3848.0,2696.0,5200.0,1107.0,22.0,1360.0,15100.0,2017-01-16
,104.5,,,3975.0,82,84.5,,,3848.0,2696.0,5200.0,1107.0,22.0,1360.0,15100.0,2017-01-23
,104.5,,,3975.0,82,84.5,,,4886.0,3813.0,5200.0,1554.0,29.0,1360.0,14550.0,2017-01-30
,104.5,,,3775.0,83,84.5,,,4886.0,3813.0,5025.0,1554.0,29.0,2150.0,14550.0,2017-02-06
,104.5,,,3775.0,83,84.5,,,4886.0,3813.0,5025.0,1554.0,29.0,2150.0,14550.0,2017-02-13
,111.5,,,3775.0,91,86.0,,,4886.0,3813.0,5025.0,1554.0,29.0,2150.0,14550.0,2017-02-20
,114.0,,,3775.0,93,87.5,,,4827.0,3794.0,5025.0,1884.0,32.0,2150.0,14550.0,2017-02-27
,117.5,,,3925.0,92,92.0,,,4827.0,3794.0,5175.0,1884.0,32.0,2375.0,11800.0,2017-03-06
,115.5,,,3925.0,87,90.5,,,4827.0,3794.0,5175.0,1884.0,32.0,2375.0,11800.0,2017-03-13
,117.5,,,3925.0,91,92.5,,,4827.0,3794.0,5175.0,1884.0,32.0,2375.0,11800.0,2017-03-20
,115.5,,,3925.0,86,90.5,,,5189.0,3889.0,5175.0,2176.0,36.0,2375.0,11800.0,2017-03-27
,112.5,,,3925.0,81,87.5,,,5189.0,3889.0,5175.0,2176.0,36.0,2375.0,11800.0,2017-04-03
,111.5,,,4175.0,79,84.0,,,5189.0,3889.0,5825.0,2176.0,36.0,2375.0,11500.0,2017-04-10
,104.5,,,4175.0,71,80.0,,,5189.0,3889.0,5825.0,2176.0,36.0,2375.0,11500.0,2017-04-17
,102.5,,,4175.0,65,77.5,,,5189.0,3889.0,5825.0,2176.0,36.0,2375.0,11500.0,2017-04-24
,103.5,,,4175.0,68,78.5,,,5528.0,4304.0,5825.0,2293.0,38.0,2375.0,11500.0,2017-05-01
,87.5,,,3525.0,66,64.0,,,5528.0,4304.0,4950.0,2293.0,38.0,2400.0,10900.0,2017-05-08
,82.0,,,3525.0,60,61.0,,,5528.0,4304.0,4950.0,2293.0,38.0,2400.0,10900.0,2017-05-15
,83.0,,,3525.0,62,62.0,,,5528.0,4304.0,4950.0,2293.0,38.0,2400.0,10900.0,2017-05-22
,82.0,,,3525.0,60,61.0,,,4702.0,3753.0,4950.0,2440.0,39.0,2400.0,10900.0,2017-05-29
,76.5,,,2797.5,57,56.5,249.5,,4702.0,3753.0,4110.0,2440.0,39.0,2400.0,10750.0,2017-06-05
,75.5,,,2797.5,56,55.5,248.5,,4702.0,3753.0,4110.0,2440.0,39.0,2400.0,10750.0,2017-06-12
,75.5,,,2797.5,54,54.5,250.0,,4702.0,3753.0,4110.0,2440.0,39.0,2400.0,10750.0,2017-06-19
,77.0,,,2797.5,56,56.5,252.5,,3881.0,3014.0,4110.0,2415.0,39.0,2400.0,10750.0,2017-06-26
,85.0,,,2797.5,61,57.0,252.5,,3881.0,3014.0,4110.0,2415.0,39.0,2400.0,10750.0,2017-07-03
,89.5,,,2440.0,63,59.0,269.0,,3881.0,3014.0,3450.0,2415.0,39.0,1900.0,10550.0,2017-07-10
,91.5,,,2440.0,65,60.0,269.0,,3881.0,3014.0,3450.0,2415.0,39.0,1900.0,10550.0,2017-07-17
,92.5,,,2440.0,68,61.5,275.0,,3881.0,3014.0,3450.0,2415.0,39.0,1900.0,10550.0,2017-07-24
,92.5,,,2440.0,69,61.5,287.5,,3336.0,2577.0,3450.0,1970.0,32.0,1900.0,10550.0,2017-07-31
,95.0,,,2860.0,73,65.5,297.5,,3336.0,2577.0,3925.0,1970.0,32.0,1850.0,11050.0,2017-08-07
,96.0,,,2860.0,76,67.0,302.5,,3336.0,2577.0,3925.0,1970.0,32.0,1850.0,11050.0,2017-08-14
,95.0,,,2860.0,74,66.0,317.5,,3336.0,2577.0,3925.0,1970.0,32.0,1850.0,11050.0,2017-08-21
,97.0,,,2860.0,78,68.0,342.5,,3775.0,2771.0,3925.0,1964.0,32.0,1850.0,11050.0,2017-08-28
,96.5,,,2860.0,77,66.5,342.5,,3775.0,2771.0,3925.0,1964.0,32.0,1850.0,11050.0,2017-09-04
,94.0,,,3305.0,77,65.5,342.5,,3775.0,2771.0,4540.0,1964.0,32.0,1850.0,13250.0,2017-09-11
,92.5,,,3305.0,74,64.0,337.5,,3775.0,2771.0,4540.0,1964.0,32.0,1850.0,13250.0,2017-09-18
,90.5,,,3305.0,67,60.5,327.5,,3775.0,2771.0,4540.0,1964.0,32.0,1850.0,13250.0,2017-09-25
,89.0,,,3305.0,63,59.0,295.0,,4367.0,3291.0,4540.0,1986.0,32.0,1850.0,13250.0,2017-10-02
,102.5,,,3370.0,62,70.0,292.5,,4367.0,3291.0,4630.0,1986.0,32.0,2150.0,14200.0,2017-10-09
,97.5,,,3370.0,60,69.0,277.5,,4367.0,3291.0,4630.0,1986.0,32.0,2150.0,14200.0,2017-10-16
,100.0,,,3370.0,61,69.0,277.5,,4367.0,3291.0,4630.0,1986.0,32.0,2150.0,14200.0,2017-10-23
,100.0,,,3370.0,61,69.0,277.5,,4532.0,3374.0,4630.0,2074.0,34.0,2150.0,14200.0,2017-10-30
,105.0,,,2750.0,60,70.0,277.5,,4532.0,3374.0,3800.0,2074.0,34.0,2150.0,12925.0,2017-11-06
,106.5,,,2750.0,63,73.0,282.5,,4532.0,3374.0,3800.0,2074.0,34.0,2150.0,12925.0,2017-11-13
,106.5,,,2750.0,62,73.0,282.5,,4532.0,3374.0,3800.0,2074.0,34.0,2150.0,12925.0,2017-11-20
,107.5,,,2750.0,65,74.0,295.0,,3741.0,2749.0,3800.0,2104.0,34.0,2150.0,12925.0,2017-11-27
,109.0,,,2750.0,68,75.5,302.5,,3741.0,2749.0,3800.0,2104.0,34.0,2150.0,12925.0,2017-12-04
,110.0,,,2740.0,70,76.5,305.0,,3741.0,2749.0,3780.0,2104.0,34.0,2150.0,11500.0,2017-12-11
,110.0,,,2740.0,70,76.5,305.0,,3741.0,2749.0,3780.0,2104.0,34.0,2150.0,11500.0,2017-12-18
,112.0,,,2740.0,74,80.0,337.5,,3741.0,2749.0,3780.0,2104.0,34.0,2150.0,11500.0,2017-12-25
,112.0,,,2740.0,73,79.5,337.5,,3742.0,2740.0,3780.0,2206.0,36.0,2150.0,11500.0,2018-01-01
,113.0,,,3350.0,76,79.5,337.5,,3742.0,2740.0,4250.0,2206.0,36.0,1765.0,15125.0,2018-01-08
,114.5,,,3350.0,79,81.5,340.0,,3742.0,2740.0,4875.0,2206.0,36.0,1765.0,15125.0,2018-01-15
,111.5,,,3350.0,76,78.5,325.0,,3742.0,2740.0,4875.0,2206.0,36.0,1765.0,15125.0,2018-01-22
77.0,110.5,,,3350.0,75,77.5,315.0,125.5,4239.0,3100.0,4875.0,1863.0,33.0,1765.0,15125.0,2018-01-29
77.0,110.5,,,3575.0,72,75.0,315.0,125.5,4239.0,3100.0,5075.0,1863.0,33.0,2475.0,15925.0,2018-02-05
77.0,112.5,,,3575.0,76,78.0,315.0,125.5,4239.0,3100.0,5075.0,1863.0,33.0,2475.0,15925.0,2018-02-12
77.0,113.5,,,3575.0,78,79.0,312.5,125.5,4239.0,3100.0,5075.0,1863.0,33.0,2475.0,15925.0,2018-02-19
80.0,113.5,,,3575.0,78,79.0,322.5,127.0,4666.0,3414.0,5075.0,2367.0,37.0,2475.0,15925.0,2018-02-26
80.0,113.5,,,3675.0,79,80.0,327.5,127.0,4666.0,3414.0,5045.0,2367.0,37.0,2475.0,16500.0,2018-03-05
80.0,111.0,,,3675.0,73,77.0,327.5,127.0,4666.0,3414.0,5045.0,2367.0,37.0,2475.0,16500.0,2018-03-12
80.0,108.5,,,3675.0,70,75.5,335.0,127.0,4666.0,3414.0,5045.0,2367.0,37.0,2475.0,16500.0,2018-03-19
74.0,105.5,,,3675.0,67,74.0,340.0,116.0,4566.0,3464.0,5045.0,2492.0,38.0,2475.0,16500.0,2018-03-26
74.0,102.0,,,3675.0,64,63.0,337.5,116.0,4566.0,3464.0,5045.0,2492.0,38.0,2475.0,17400.0,2018-04-02
74.0,102.0,,,3685.0,64,63.0,337.5,116.0,4566.0,3464.0,5040.0,2492.0,38.0,2525.0,17400.0,2018-04-09
74.0,102.0,,,3685.0,65,63.0,337.5,116.0,4566.0,3464.0,5040.0,2492.0,38.0,2525.0,17400.0,2018-04-16
74.0,104.0,,,3685.0,66,63.5,332.5,116.0,4566.0,3464.0,5040.0,2492.0,38.0,2525.0,17400.0,2018-04-23
72.0,105.0,,,3685.0,67,64.0,332.5,112.0,4830.0,3511.0,5040.0,2680.0,41.0,2525.0,17400.0,2018-04-30
72.0,104.0,,,3350.0,66,64.5,340.0,112.0,4830.0,3511.0,4525.0,2680.0,41.0,2625.0,17650.0,2018-05-07
72.0,105.0,,,3350.0,67,65.0,340.0,112.0,4830.0,3511.0,4525.0,2680.0,41.0,2625.0,17650.0,2018-05-14
72.0,105.0,,,3350.0,67,65.0,342.5,112.0,4830.0,3511.0,4525.0,2680.0,41.0,2625.0,17650.0,2018-05-21
72.0,102.0,,,3350.0,64,63.5,342.5,110.0,4238.0,3241.0,4525.0,2021.0,37.0,2625.0,17650.0,2018-05-28
72.0,102.0,,,3350.0,64,63.5,340.0,110.0,4238.0,3241.0,4525.0,2021.0,37.0,2625.0,17650.0,2018-06-04
72.0,107.5,,,3525.0,65,64.5,342.5,110.0,4238.0,3241.0,4850.0,2021.0,37.0,1925.0,,2018-06-11
72.0,108.5,,,3525.0,66,65.0,342.5,110.0,4238.0,3241.0,4850.0,2021.0,37.0,1925.0,,2018-06-18
72.0,106.5,,,3525.0,64,64.0,342.5,110.0,4238.0,3241.0,4850.0,2021.0,37.0,1925.0,,2018-06-25
79.5,109.5,,,3525.0,64,64.0,342.5,111.5,4492.0,3463.0,4850.0,1950.0,37.0,1925.0,,2018-07-02
79.5,110.5,,,3275.0,63,63.5,342.5,111.5,4492.0,3463.0,5000.0,1950.0,37.0,2785.0,,2018-07-09
79.5,110.5,,,3275.0,63,63.5,330.0,111.5,4492.0,3463.0,5000.0,1950.0,37.0,2785.0,,2018-07-16
79.5,114.0,,,3275.0,64,64.0,330.0,111.5,4492.0,3463.0,5000.0,1950.0,37.0,2785.0,,2018-07-23
75.0,117.0,,,3275.0,67,65.5,330.0,109.0,4828.0,3588.0,5000.0,2353.0,40.0,2785.0,,2018-07-30
75.0,117.0,,,3585.0,67,65.0,327.5,109.0,4828.0,3588.0,4987.5,2353.0,40.0,2750.0,,2018-08-06
75.0,119.0,,,3585.0,69,67.0,322.5,109.0,4828.0,3588.0,4987.5,2353.0,40.0,2750.0,,2018-08-13
75.0,118.0,,,3585.0,68,66.0,317.5,109.0,4828.0,3588.0,4987.5,2353.0,40.0,2750.0,,2018-08-20
77.0,118.0,,,3585.0,67,66.0,317.5,115.0,5202.0,3667.0,4987.5,2683.0,43.0,2750.0,,2018-08-27
77.0,122.5,,,3585.0,66,65.0,320.0,115.0,5202.0,3667.0,4987.5,2683.0,43.0,2750.0,,2018-09-03
77.0,125.0,,,3850.0,67,58.0,320.0,115.0,5202.0,3667.0,6075.0,2683.0,43.0,2985.0,,2018-09-10
77.0,126.0,,,3850.0,69,59.0,320.0,115.0,5202.0,3667.0,6075.0,2683.0,43.0,2985.0,,2018-09-17
77.0,126.0,,,3850.0,69,59.0,322.5,115.0,5202.0,3667.0,6075.0,2683.0,43.0,2985.0,,2018-09-24
80.0,126.0,,,3850.0,69,59.0,322.5,119.0,5866.0,3955.0,6075.0,2411.0,40.0,2985.0,,2018-10-01
80.0,121.0,,,4150.0,70,60.0,322.5,119.0,5866.0,3955.0,6475.0,2411.0,40.0,3140.0,,2018-10-08
80.0,119.0,,,4150.0,71,60.5,322.5,119.0,5866.0,3955.0,6475.0,2411.0,40.0,3140.0,,2018-10-15
80.0,116.0,,,4150.0,73,60.5,327.5,119.0,5866.0,3955.0,6475.0,2411.0,40.0,3140.0,,2018-10-22
81.0,106.0,,,4150.0,76,60.5,335.0,122.0,6284.0,4234.0,6475.0,2944.0,46.0,3140.0,,2018-10-29
81.0,106.0,,,4280.0,75,61.0,339.0,122.0,6284.0,4234.0,6400.0,2944.0,46.0,3160.0,,2018-11-05
81.0,106.0,,,4280.0,75,61.0,335.0,122.0,6284.0,4234.0,6400.0,2944.0,46.0,3160.0,,2018-11-12
81.0,100.0,,,4280.0,75,61.0,335.0,122.0,6284.0,4234.0,6400.0,2944.0,46.0,3160.0,,2018-11-19
79.5,96.0,,,4280.0,73,59.0,327.5,122.5,6279.0,4298.0,6400.0,3181.0,48.0,3160.0,,2018-11-26
79.5,87.0,,,4280.0,65,55.0,322.5,122.5,6279.0,4298.0,6400.0,3181.0,48.0,3160.0,,2018-12-03
79.5,87.0,,,4550.0,67,58.0,317.5,122.5,6279.0,4298.0,6750.0,3181.0,48.0,3350.0,,2018-12-10
79.5,87.0,,,4550.0,68,58.0,302.5,122.5,6279.0,4298.0,6750.0,3181.0,48.0,3350.0,,2018-12-17
79.5,88.5,,,4550.0,71,59.0,300.0,122.5,6279.0,4298.0,6750.0,3181.0,48.0,3350.0,,2018-12-24
74.0,88.5,,,4550.0,72,59.0,292.5,116.5,6735.0,4621.0,6750.0,3340.0,53.0,3350.0,,2018-12-31
74.0,88.5,,,4135.0,72,59.0,290.0,116.5,6735.0,4621.0,6425.0,3340.0,53.0,3035.0,,2019-01-07
74.0,88.5,,,4135.0,75,61.5,287.5,116.5,6735.0,4621.0,6425.0,3340.0,53.0,3035.0,,2019-01-14
74.0,88.5,,,4135.0,75,61.5,280.0,116.5,6735.0,4621.0,6425.0,3340.0,53.0,3035.0,,2019-01-21
84.0,88.5,64.0,101.0,4135.0,75,61.5,282.5,128.5,6360.0,4191.0,6425.0,3052.0,48.0,3035.0,,2019-01-28
84.0,91.5,64.0,101.0,4135.0,83,69.5,285.0,128.5,6360.0,4191.0,6425.0,3052.0,48.0,3035.0,,2019-02-04
84.0,100.5,64.0,101.0,4565.0,91,77.5,285.0,128.5,6360.0,4191.0,7175.0,3052.0,48.0,3300.0,,2019-02-11
84.0,100.5,64.0,101.0,4565.0,88,75.5,280.0,128.5,6360.0,4191.0,7175.0,3052.0,48.0,3300.0,,2019-02-18
84.0,100.5,64.0,101.0,4565.0,88,75.5,282.5,128.5,6360.0,4191.0,7175.0,3052.0,48.0,3300.0,,2019-02-25
98.0,97.5,71.0,113.0,4565.0,85,72.5,280.0,142.5,7120.0,4621.0,7175.0,3668.0,55.0,3300.0,,2019-03-04
98.0,95.0,71.0,113.0,5000.0,87,74.5,280.0,142.5,7120.0,4621.0,7760.0,3668.0,55.0,3765.0,,2019-03-11
