Date,Price,Open,High,Low,Vol.,Change %
10.02.2023,38.47,38.0,38.56,37.96,13.53,0.85
09.02.2023,38.14,37.6,38.47,37.56,11.61,0.98
08.02.2023,37.77,38.1,38.4,37.54,12.6,-0.81
07.02.2023,38.08,38.38,38.63,37.65,12.49,-0.85
06.02.2023,38.4,38.35,38.79,38.13,19.79,0.71
03.02.2023,38.13,37.88,38.49,37.21,24.11,0.49
02.02.2023,37.95,36.79,38.25,36.53,34.13,3.46
01.02.2023,36.68,36.0,36.83,35.9,20.4,2.04
31.01.2023,35.94,35.54,35.99,35.28,17.56,1.35
30.01.2023,35.47,34.4,35.49,34.19,26.99,3.32
27.01.2023,34.33,33.9,34.39,33.9,6.04,1.15
26.01.2023,33.94,34.03,34.08,33.76,4.39,-0.15
25.01.2023,33.99,33.87,34.04,33.6,6.28,0.22
24.01.2023,33.91,34.13,34.49,33.83,8.79,-0.41
23.01.2023,34.05,33.73,34.13,33.63,6.56,0.8
20.01.2023,33.78,33.99,34.15,33.51,12.12,-0.62
19.01.2023,33.99,34.49,34.56,33.87,8.03,-1.46
18.01.2023,34.49,34.1,34.69,34.08,7.56,0.92
17.01.2023,34.18,34.67,34.86,34.03,10.59,-1.33
16.01.2023,34.64,34.1,34.73,34.1,9.23,1.66
13.01.2023,34.08,33.8,34.4,33.56,8.26,0.69
12.01.2023,33.84,33.62,33.92,33.31,8.21,0.68
11.01.2023,33.61,33.3,33.74,33.18,8.51,0.96
10.01.2023,33.29,33.17,33.42,32.88,9.15,0.09
09.01.2023,33.26,33.55,33.55,33.14,7.42,-0.3
06.01.2023,33.36,33.1,33.44,33.01,3.46,0.71
05.01.2023,33.13,33.15,33.28,32.9,4.94,-0.45
04.01.2023,33.28,33.31,33.63,33.03,5.69,-0.36
03.01.2023,33.4,32.9,33.49,32.72,7.37,1.61
30.12.2022,32.87,32.25,32.97,32.12,11.05,2.03
29.12.2022,32.21,32.13,32.35,32.1,3.23,0.22
28.12.2022,32.14,32.03,32.4,31.82,8.62,0.0
27.12.2022,32.14,32.26,32.4,32.09,6.21,0.2
26.12.2022,32.08,31.85,32.13,31.8,6.85,0.64
23.12.2022,31.87,31.91,32.16,31.64,5.59,-0.06
22.12.2022,31.89,31.7,32.42,31.52,12.72,0.13
21.12.2022,31.85,32.53,32.79,31.25,30.6,-1.88
20.12.2022,32.46,32.95,34.2,32.3,58.1,-1.43
19.12.2022,32.93,31.6,33.15,31.51,25.96,4.08
16.12.2022,31.64,31.3,31.72,31.28,10.69,0.94
15.12.2022,31.34,31.76,31.84,31.05,19.81,-1.88
14.12.2022,31.94,32.21,32.27,31.77,8.97,-0.79
13.12.2022,32.2,31.88,32.33,31.48,27.49,1.02
12.12.2022,31.88,31.72,32.1,31.5,13.56,1.03
09.12.2022,31.55,31.75,31.96,31.34,14.73,-0.28
08.12.2022,31.64,31.25,31.86,31.1,21.77,1.25
07.12.2022,31.25,31.17,31.3,30.75,11.5,0.14
06.12.2022,31.2,31.28,31.42,31.08,6.85,-0.08
05.12.2022,31.23,31.31,31.66,31.03,11.46,-0.03
02.12.2022,31.24,31.55,31.62,31.05,10.52,-0.87
01.12.2022,31.51,31.65,31.77,31.41,8.49,-0.16
30.11.2022,31.57,31.66,31.99,31.18,20.67,-0.11
29.11.2022,31.6,31.05,31.62,30.88,19.04,2.46
28.11.2022,30.84,30.69,31.1,30.45,13.84,0.1
25.11.2022,30.81,30.9,31.07,30.46,12.53,-0.36
24.11.2022,30.92,31.0,31.23,30.77,7.79,-0.37
23.11.2022,31.03,31.26,31.7,30.83,28.43,-0.66
22.11.2022,31.24,29.99,31.4,29.79,40.81,3.99
21.11.2022,30.04,30.19,30.19,29.58,14.95,-0.36
18.11.2022,30.15,30.06,30.19,29.8,8.67,-0.03
17.11.2022,30.16,30.51,30.63,29.86,9.7,-1.13
16.11.2022,30.5,30.07,30.69,29.91,19.31,2.04
15.11.2022,29.9,31.07,31.3,29.0,29.81,-3.53
14.11.2022,30.99,31.03,31.65,30.5,23.76,0.03
11.11.2022,30.98,31.32,31.48,30.6,19.14,-0.77
10.11.2022,31.22,30.8,31.5,30.4,28.21,1.41
09.11.2022,30.78,32.0,32.0,30.51,33.19,-4.65
08.11.2022,32.28,32.99,33.41,32.03,25.75,-1.97
07.11.2022,32.94,32.14,33.23,31.65,41.81,4.56
03.11.2022,31.5,30.4,31.5,29.86,33.88,3.41
02.11.2022,30.46,31.1,31.18,30.02,9.67,-2.01
01.11.2022,31.08,31.25,31.6,30.58,20.77,-0.27
31.10.2022,31.17,32.04,32.21,30.8,25.36,-2.68
28.10.2022,32.03,32.35,32.64,31.63,28.39,-0.99
27.10.2022,32.35,30.6,32.65,30.32,54.81,5.91
26.10.2022,30.55,29.9,30.92,29.37,32.41,2.33
25.10.2022,29.85,29.63,30.09,29.5,25.98,1.08
24.10.2022,29.53,28.81,29.8,28.33,48.45,2.52
21.10.2022,28.81,28.0,29.13,27.65,47.64,2.73
20.10.2022,28.04,26.83,28.24,26.5,45.56,5.14
19.10.2022,26.67,27.42,27.87,26.22,48.45,-3.28
18.10.2022,27.58,28.2,28.65,27.34,32.09,-1.99
17.10.2022,28.14,26.26,28.16,26.24,35.04,7.57
14.10.2022,26.16,26.1,26.49,25.59,15.73,0.08
13.10.2022,26.14,26.42,26.8,25.9,15.47,-1.08
12.10.2022,26.42,26.31,27.28,25.68,22.29,0.53
11.10.2022,26.28,25.35,26.52,25.17,21.02,3.67
10.10.2022,25.35,23.64,25.58,23.37,28.62,5.54
07.10.2022,24.02,24.93,24.93,23.9,14.63,-3.65
06.10.2022,24.93,25.51,25.98,24.6,12.77,-1.15
05.10.2022,25.22,25.17,25.44,23.82,25.53,-0.28
04.10.2022,25.29,26.3,26.3,24.96,22.21,-2.73
03.10.2022,26.0,24.48,26.19,23.76,33.12,7.26
30.09.2022,24.24,22.8,24.9,22.18,48.25,7.19
29.09.2022,22.61,23.18,23.39,22.0,24.73,-2.46
28.09.2022,23.18,23.4,23.75,22.66,28.23,-0.96
27.09.2022,23.41,23.44,24.4,21.66,43.48,1.08
26.09.2022,23.16,24.99,25.24,22.0,51.15,-9.18
23.09.2022,25.5,28.2,28.23,24.65,56.42,-9.67
22.09.2022,28.23,27.17,28.35,27.15,16.46,3.86
21.09.2022,27.18,26.36,27.59,26.0,22.12,-3.69
20.09.2022,28.22,30.0,30.0,27.36,48.76,-5.82
19.09.2022,29.97,30.18,30.76,29.65,15.65,-0.88
16.09.2022,30.23,29.85,30.27,29.5,16.83,1.49
15.09.2022,29.78,29.27,29.82,29.09,11.82,1.76
14.09.2022,29.27,29.34,29.4,28.41,11.09,-0.59
13.09.2022,29.44,29.73,29.9,29.31,10.41,-0.96
12.09.2022,29.73,28.8,29.9,28.78,14.69,2.57
09.09.2022,28.99,28.66,29.13,28.6,9.09,1.13
08.09.2022,28.66,28.75,28.85,28.1,12.63,-0.3
07.09.2022,28.75,29.0,29.37,28.67,12.35,-1.46
06.09.2022,29.17,30.4,30.5,28.52,27.46,-4.05
05.09.2022,30.4,30.08,30.42,29.7,12.47,1.33
02.09.2022,30.0,29.41,30.1,29.08,13.19,2.02
01.09.2022,29.41,29.25,29.6,28.8,12.48,0.63
31.08.2022,29.22,28.53,29.85,28.25,18.46,3.38
30.08.2022,28.26,28.3,29.07,28.21,26.47,0.37
29.08.2022,28.16,27.3,28.18,27.3,18.31,3.23
26.08.2022,27.28,26.79,27.28,26.7,7.5,1.72
25.08.2022,26.82,26.95,27.17,26.64,10.93,-0.54
24.08.2022,26.97,27.1,27.3,26.95,5.39,-0.52
23.08.2022,27.1,26.93,27.47,26.84,11.25,0.76
22.08.2022,26.9,26.81,27.25,26.58,11.87,-0.37
19.08.2022,27.0,26.33,27.0,26.01,13.67,2.23
18.08.2022,26.41,26.68,26.69,26.13,14.11,-1.18
17.08.2022,26.73,27.1,27.3,26.36,18.88,-1.38
16.08.2022,27.1,27.2,27.62,26.66,29.44,0.31
15.08.2022,27.01,25.85,27.14,25.7,29.91,3.62
12.08.2022,26.07,25.28,26.14,25.0,25.24,3.12
11.08.2022,25.28,24.75,25.85,24.35,40.02,2.97
10.08.2022,24.55,24.27,24.95,23.9,29.71,1.15
09.08.2022,24.27,23.77,24.38,23.42,20.91,1.93
08.08.2022,23.81,24.17,24.19,23.46,20.11,1.49
05.08.2022,23.46,24.0,24.24,23.13,30.66,-1.92
04.08.2022,23.92,24.3,24.3,23.52,36.66,-0.83
03.08.2022,24.12,23.93,24.9,22.75,154.78,-9.29
02.08.2022,26.59,27.8,28.18,26.53,37.1,-4.35
01.08.2022,27.8,26.94,28.1,26.48,73.36,5.02
29.07.2022,26.47,26.65,26.72,26.02,20.38,-0.53
28.07.2022,26.61,27.58,27.67,26.51,19.07,-3.38
27.07.2022,27.54,27.53,28.0,27.17,15.65,0.29
26.07.2022,27.46,26.95,27.46,26.91,11.9,2.31
25.07.2022,26.84,26.44,26.91,26.26,10.72,1.17
22.07.2022,26.53,25.69,26.58,25.55,14.14,3.13
21.07.2022,25.73,26.16,26.17,25.5,18.6,-1.72
20.07.2022,26.17,26.55,26.97,25.9,18.73,-1.45
19.07.2022,26.56,27.11,27.12,26.21,25.38,-2.03
18.07.2022,27.11,27.8,27.9,27.03,13.96,-1.4
15.07.2022,27.5,27.9,28.0,26.8,32.99,-1.7
14.07.2022,27.97,28.45,29.18,27.8,18.93,-2.03
13.07.2022,28.55,29.9,29.97,28.24,24.27,-4.8
12.07.2022,29.99,30.75,30.78,29.5,15.34,-2.49
11.07.2022,30.75,31.65,31.83,30.66,11.84,-2.37
08.07.2022,31.5,32.23,32.28,31.4,10.06,-2.33
07.07.2022,32.25,32.2,32.87,31.3,17.11,0.28
06.07.2022,32.16,31.1,32.69,30.93,22.97,3.42
05.07.2022,31.09,31.3,31.52,30.83,14.1,-0.69
04.07.2022,31.31,32.38,32.8,31.3,9.61,-3.3
01.07.2022,32.38,32.0,32.77,31.32,10.43,0.89
30.06.2022,32.1,33.49,33.74,31.73,18.18,-3.92
29.06.2022,33.4,33.01,33.54,31.66,14.31,1.2
28.06.2022,33.01,33.5,33.75,32.44,11.62,-1.46
27.06.2022,33.5,33.71,33.75,33.03,13.11,-1.02
24.06.2022,33.85,34.86,35.32,33.51,18.81,-2.9
23.06.2022,34.85,33.75,35.14,33.44,12.89,2.85
22.06.2022,33.89,34.25,34.35,33.24,11.72,-1.74
21.06.2022,34.49,34.4,34.7,33.55,15.75,0.55
20.06.2022,34.3,33.35,34.96,33.1,16.1,3.08
17.06.2022,33.28,33.3,33.6,32.71,10.53,0.23
16.06.2022,33.2,32.11,33.63,32.11,17.68,3.52
15.06.2022,32.07,30.8,32.4,30.61,11.47,4.06
14.06.2022,30.82,30.8,30.99,30.2,5.92,0.11
10.06.2022,30.78,30.89,31.2,30.41,6.7,-0.36
09.06.2022,30.9,32.1,32.27,30.7,9.71,-3.53
08.06.2022,32.03,31.92,32.44,31.5,11.43,2.06
07.06.2022,31.38,31.48,31.82,29.65,24.32,-0.3
06.06.2022,31.48,33.22,33.5,31.25,20.24,-4.68
03.06.2022,33.02,34.87,34.87,31.47,41.63,-5.36
02.06.2022,34.89,35.73,35.97,34.31,12.23,-1.86
01.06.2022,35.55,35.71,36.5,35.2,10.92,-0.45
31.05.2022,35.71,36.95,37.0,35.58,11.36,-3.36
30.05.2022,36.95,38.5,38.91,36.9,13.99,-4.63
27.05.2022,38.74,39.03,39.21,38.32,5.81,-0.44
26.05.2022,38.92,39.0,39.7,38.56,10.46,-0.73
25.05.2022,39.2,38.7,39.46,38.05,8.01,2.16
24.05.2022,38.37,41.0,41.1,37.7,24.41,-6.13
23.05.2022,40.88,43.8,43.8,40.47,12.75,-5.7
20.05.2022,43.35,45.12,45.55,43.06,8.96,-3.69
19.05.2022,45.01,45.75,45.75,44.88,4.1,-1.63
18.05.2022,45.75,44.81,45.87,44.81,8.35,2.35
17.05.2022,44.7,43.67,44.79,43.56,4.75,2.68
16.05.2022,43.53,42.56,43.6,42.17,3.76,1.98
13.05.2022,42.69,43.0,43.19,42.01,2.51,-0.02
12.05.2022,42.7,44.44,44.48,42.3,3.7,-3.83
11.05.2022,44.4,43.98,44.7,43.64,3.57,1.13
06.05.2022,43.9,44.56,44.7,43.83,4.03,-1.53
05.05.2022,44.58,44.22,44.75,43.88,3.39,1.32
04.05.2022,44.01,44.84,44.84,43.01,4.43,-2.06
29.04.2022,44.93,43.76,44.93,43.01,8.28,2.93
28.04.2022,43.65,43.8,44.2,43.0,10.6,0.28
27.04.2022,43.53,42.5,43.62,42.0,6.84,2.48
26.04.2022,42.47,41.51,42.7,41.31,7.07,2.35
25.04.2022,41.5,42.0,42.03,40.51,5.61,-1.19
22.04.2022,42.0,41.83,42.34,41.5,10.82,0.71
21.04.2022,41.71,41.0,41.9,40.5,10.66,2.98
20.04.2022,40.5,40.0,41.32,39.22,11.46,1.76
19.04.2022,39.8,39.58,40.0,38.3,12.07,0.56
18.04.2022,39.58,40.0,40.7,39.0,4.43,-0.55
15.04.2022,39.8,40.0,40.43,38.31,6.53,-0.26
14.04.2022,39.9,41.99,42.0,39.6,7.45,-4.67
13.04.2022,41.86,42.5,42.8,41.53,3.71,-1.1
12.04.2022,42.33,42.0,42.36,40.6,6.41,1.01
11.04.2022,41.9,42.86,43.4,41.25,8.99,-2.29
08.04.2022,42.88,43.99,44.1,42.55,6.45,-1.9
07.04.2022,43.71,42.84,43.87,42.7,11.32,2.03
06.04.2022,42.84,42.8,43.28,41.81,9.7,-0.02
05.04.2022,42.85,45.35,45.67,42.0,19.68,-5.53
04.04.2022,45.36,46.66,46.88,44.9,16.11,-0.53
01.04.2022,45.6,45.1,47.45,44.19,32.9,3.87
31.03.2022,43.9,43.01,45.3,42.67,32.04,2.09
30.03.2022,43.0,43.01,44.49,42.38,9.57,2.87
29.03.2022,41.8,42.23,44.8,40.41,10.39,-1.02
28.03.2022,42.23,43.88,44.44,41.03,10.74,-3.58
25.03.2022,43.8,49.6,49.6,43.71,10.68,-8.0
24.03.2022,47.61,46.9,51.24,45.0,90.68,-0.14
25.02.2022,47.67,48.29,52.88,45.38,46.99,-1.55
24.02.2022,48.42,53.0,55.0,35.2,104.65,-15.49
22.02.2022,57.3,52.5,58.89,49.15,126.91,9.14
21.02.2022,52.5,61.28,63.0,52.03,105.06,-14.61
18.02.2022,61.49,62.48,63.49,60.52,63.26,-1.32
17.02.2022,62.31,65.2,65.44,62.1,57.05,-4.29
16.02.2022,65.1,65.8,66.64,63.96,34.6,-0.91
15.02.2022,65.7,64.0,66.16,63.8,30.08,3.4
14.02.2022,63.54,62.3,64.42,60.12,45.74,1.99
11.02.2022,62.3,64.63,64.69,61.11,45.19,-3.56
10.02.2022,64.6,66.2,66.56,64.25,36.22,-2.57
09.02.2022,66.31,63.38,67.07,63.27,53.12,4.83
08.02.2022,63.25,60.15,63.36,60.0,52.5,5.17
07.02.2022,60.14,60.0,61.17,59.6,31.68,0.57
04.02.2022,59.8,61.0,61.5,59.31,38.74,-1.53
03.02.2022,60.73,61.0,61.92,60.06,33.58,-1.01
02.02.2022,61.35,60.92,61.91,59.72,31.05,1.19
01.02.2022,60.63,62.0,62.28,60.0,43.87,-1.65
31.01.2022,61.65,60.65,62.43,60.44,33.28,2.15
28.01.2022,60.35,59.2,60.6,58.92,38.98,2.12
27.01.2022,59.1,55.88,59.56,55.53,49.72,5.17
26.01.2022,56.19,56.65,58.24,55.4,46.88,-0.8
25.01.2022,56.65,58.5,59.58,54.78,92.72,-3.04
24.01.2022,58.42,62.46,62.79,56.73,75.85,-6.05
21.01.2022,62.19,61.56,63.26,61.04,32.78,0.3
20.01.2022,62.0,62.92,64.75,61.65,44.0,-1.45
19.01.2022,62.92,60.07,64.27,57.1,66.45,4.01
18.01.2022,60.49,64.5,65.07,58.93,68.61,-6.22
17.01.2022,64.5,66.0,66.29,63.4,33.22,-2.27
14.01.2022,66.0,67.78,68.08,63.0,52.6,-2.05
13.01.2022,67.38,67.98,69.61,67.04,42.91,-0.75
12.01.2022,67.89,67.39,68.16,67.25,38.33,-2.96
11.01.2022,69.96,69.87,70.64,69.28,41.0,-0.63
10.01.2022,70.4,71.8,71.8,70.18,37.94,-1.08
06.01.2022,71.17,68.18,71.25,67.38,24.86,2.88
05.01.2022,69.18,71.32,72.0,67.81,23.47,-3.12
04.01.2022,71.4,70.9,71.92,70.65,16.82,0.8
03.01.2022,70.83,69.65,70.87,69.65,12.3,1.7
30.12.2021,69.65,68.76,69.96,68.29,19.73,1.29
29.12.2021,68.76,69.07,69.2,68.17,15.92,-0.36
28.12.2021,69.01,68.36,69.73,68.15,22.89,0.96
27.12.2021,68.36,66.74,68.4,66.47,17.7,2.42
24.12.2021,66.74,66.8,67.0,65.62,15.37,0.12
23.12.2021,66.66,66.52,67.11,66.05,20.29,0.6
22.12.2021,66.26,65.4,66.97,64.8,21.11,1.88
21.12.2021,65.04,65.25,66.1,64.5,22.02,-0.16
20.12.2021,65.14,64.99,65.77,63.81,25.98,0.43
17.12.2021,64.86,63.24,64.96,63.0,22.79,2.29
16.12.2021,63.4,63.0,64.42,62.6,33.58,1.35
15.12.2021,62.56,61.39,62.95,60.93,29.75,2.32
14.12.2021,61.14,61.78,62.77,56.99,32.4,-0.92
13.12.2021,61.71,65.0,65.0,61.46,27.15,-3.88
10.12.2021,64.2,63.94,64.44,62.63,23.42,0.67
09.12.2021,63.78,62.33,63.94,61.96,31.14,2.61
08.12.2021,62.15,61.9,63.15,61.5,34.58,0.93
07.12.2021,61.58,61.81,62.47,60.9,21.09,0.06
06.12.2021,61.54,62.69,63.67,60.83,18.22,-1.45
03.12.2021,62.45,62.69,63.17,62.33,26.47,-0.06
02.12.2021,62.49,60.67,62.68,60.13,30.53,3.8
01.12.2021,60.2,60.2,60.88,59.33,37.79,0.91
30.11.2021,59.66,59.9,60.79,58.81,41.43,-2.51
29.11.2021,61.19,62.0,62.2,60.88,28.57,0.06
26.11.2021,61.16,61.5,62.38,61.1,17.04,-2.7
25.11.2021,62.86,62.81,63.2,62.58,7.65,0.69
24.11.2021,62.43,63.42,63.49,62.33,16.86,-1.12
23.11.2021,63.13,62.21,63.38,60.61,56.67,1.12
22.11.2021,62.44,64.2,64.2,62.13,23.64,-2.64
19.11.2021,64.13,65.49,65.63,62.68,35.65,-1.75
18.11.2021,65.27,62.24,65.39,61.97,55.72,5.18
17.11.2021,62.06,61.8,62.36,61.44,18.96,0.32
16.11.2021,61.86,63.01,63.29,61.67,37.44,-1.78
15.11.2021,62.98,63.47,63.98,62.8,29.9,-0.9
12.11.2021,63.56,63.85,64.22,62.62,21.34,-0.72
11.11.2021,64.01,64.02,64.29,63.35,19.64,0.26
10.11.2021,63.85,64.6,65.13,63.5,18.98,-1.16
09.11.2021,64.6,64.59,65.94,63.75,28.96,0.47
08.11.2021,64.3,63.62,64.47,63.62,18.46,0.96
05.11.2021,63.69,65.0,65.0,63.13,27.94,-2.25
03.11.2021,65.15,65.21,65.55,64.8,17.14,-0.42
02.11.2021,65.43,67.2,67.49,65.35,26.56,-2.58
01.11.2021,67.17,66.3,67.26,65.89,16.5,1.87
29.10.2021,65.93,65.87,66.62,64.65,38.0,-0.57
28.10.2021,66.31,67.31,67.35,65.18,44.44,-1.78
27.10.2021,67.51,68.68,68.7,67.41,22.74,-1.45
26.10.2021,68.5,68.0,69.18,67.25,36.17,-0.03
25.10.2021,68.52,71.25,71.25,67.95,64.27,-2.41
22.10.2021,70.21,70.13,70.82,69.83,30.69,-0.16
21.10.2021,70.32,69.01,71.39,69.01,51.94,1.46
20.10.2021,69.31,70.14,70.19,68.21,40.02,-1.06
19.10.2021,70.05,70.28,70.97,69.42,40.78,0.17
18.10.2021,69.93,68.5,70.34,67.54,33.6,2.22
15.10.2021,68.41,70.01,70.01,67.88,31.92,-1.62
14.10.2021,69.54,70.19,70.35,68.65,29.1,0.01
13.10.2021,69.53,71.7,71.77,69.1,44.36,-2.88
12.10.2021,71.59,72.21,72.3,71.22,29.39,-1.09
11.10.2021,72.38,71.67,72.82,71.67,39.71,1.32
08.10.2021,71.44,69.59,72.47,69.25,47.77,2.05
07.10.2021,70.0,69.8,71.96,69.13,76.24,0.32
06.10.2021,69.78,67.5,69.9,66.34,68.03,3.49
05.10.2021,67.43,67.14,67.77,65.51,56.27,0.39
04.10.2021,67.16,69.66,69.81,66.43,46.11,-3.61
01.10.2021,69.68,68.1,69.86,67.22,31.7,1.9
30.09.2021,68.38,69.68,70.1,67.85,25.83,-1.23
29.09.2021,69.22,70.64,71.08,68.36,33.54,-2.01
28.09.2021,70.64,72.59,72.63,70.25,30.22,-2.68
27.09.2021,72.59,73.88,74.07,72.11,35.74,-0.75
24.09.2021,73.14,73.0,74.13,72.05,100.6,-4.88
23.09.2021,76.89,78.39,78.9,75.5,89.08,-1.84
22.09.2021,78.33,75.2,78.33,75.0,67.66,4.34
21.09.2021,75.07,72.63,75.68,72.21,61.96,4.04
20.09.2021,72.15,73.61,73.64,71.51,40.8,-2.59
17.09.2021,74.07,75.79,76.0,73.82,33.64,-2.81
16.09.2021,76.21,76.65,77.32,74.84,24.12,-0.23
15.09.2021,76.39,75.96,76.86,73.85,42.08,0.38
14.09.2021,76.1,78.0,79.65,75.32,79.88,-2.57
13.09.2021,78.11,78.6,78.72,77.05,25.47,-0.17
10.09.2021,78.25,75.99,78.47,75.22,29.68,4.03
09.09.2021,75.21,77.48,77.7,75.1,26.33,-3.56
08.09.2021,77.99,79.18,79.18,77.75,19.33,-1.08
07.09.2021,78.85,79.44,79.78,78.05,24.7,-0.46
06.09.2021,79.21,76.56,79.51,76.18,28.95,3.31
03.09.2021,76.67,76.93,77.75,75.54,34.71,-0.33
02.09.2021,76.92,76.05,77.18,75.26,45.42,1.22
01.09.2021,75.99,73.96,76.0,72.69,40.63,2.9
31.08.2021,73.85,71.7,74.0,71.44,36.32,3.36
30.08.2021,71.44,71.43,71.87,70.86,13.05,0.09
27.08.2021,71.38,71.52,71.69,70.67,14.32,-0.21
26.08.2021,71.53,71.8,72.48,70.78,30.88,-0.45
25.08.2021,71.86,69.85,72.2,69.68,34.36,2.89
24.08.2021,69.83,69.0,69.9,69.0,17.57,1.01
23.08.2021,69.14,68.94,69.47,68.29,21.29,0.66
20.08.2021,68.69,66.64,68.69,66.36,28.44,3.58
19.08.2021,66.32,66.49,66.78,65.8,19.19,-0.65
18.08.2021,66.75,67.3,67.57,66.52,12.7,-0.73
17.08.2021,67.24,68.0,68.43,67.18,12.01,-1.41
16.08.2021,68.2,68.3,68.7,67.77,12.93,-0.5
13.08.2021,68.54,68.9,69.03,68.31,7.43,-0.31
12.08.2021,68.75,68.99,69.09,68.4,12.18,-0.11
11.08.2021,68.83,69.21,69.3,68.17,14.39,-0.03
10.08.2021,68.85,67.7,69.15,67.26,20.71,1.95
09.08.2021,67.53,68.13,68.38,67.0,26.58,-1.58
06.08.2021,68.61,70.24,70.45,68.5,21.76,-2.31
05.08.2021,70.24,69.98,70.29,69.75,12.12,0.36
04.08.2021,69.98,69.23,70.1,69.14,21.36,1.19
03.08.2021,69.15,69.25,69.49,68.78,13.81,0.01
02.08.2021,69.14,68.92,69.39,68.55,18.09,0.51
30.07.2021,68.79,69.25,69.25,68.13,22.75,-0.8
29.07.2021,69.35,68.85,69.7,68.7,19.1,0.73
28.07.2021,68.85,68.61,69.79,68.27,56.06,0.64
27.07.2021,68.41,67.0,68.59,67.0,50.55,1.84
26.07.2021,67.18,66.2,67.28,65.77,37.83,0.86
23.07.2021,66.6,65.53,66.6,65.5,45.45,1.99
22.07.2021,65.3,64.52,65.89,64.42,57.98,1.95
21.07.2021,64.05,63.2,64.39,63.17,40.27,1.64
20.07.2021,63.01,62.49,63.36,61.72,44.74,1.65
19.07.2021,61.99,61.99,62.42,60.18,40.69,-0.02
16.07.2021,62.0,63.0,63.8,61.81,28.76,-1.34
15.07.2021,62.84,62.06,63.18,61.56,17.84,1.22
14.07.2021,62.08,63.04,63.9,61.83,36.78,-1.27
13.07.2021,62.88,61.1,62.97,60.91,35.5,2.91
12.07.2021,61.1,61.24,61.24,60.0,13.48,0.49
09.07.2021,60.8,58.7,61.08,58.56,36.31,4.11
08.07.2021,58.4,58.96,59.65,58.09,16.67,-0.96
07.07.2021,58.97,57.81,59.05,57.42,29.05,2.41
06.07.2021,57.58,59.0,59.27,57.3,35.08,-2.53
05.07.2021,59.08,59.71,59.9,58.92,14.17,-1.12
02.07.2021,59.74,60.0,60.24,59.34,14.12,-0.38
01.07.2021,59.97,60.6,61.19,59.72,27.41,-1.02
30.06.2021,60.58,58.92,60.76,58.53,30.33,2.88
29.06.2021,58.89,60.19,60.19,58.51,23.32,-2.17
28.06.2021,60.19,59.92,60.59,59.53,31.57,0.43
25.06.2021,59.94,61.17,61.17,59.14,59.15,-1.99
24.06.2021,61.16,63.79,64.36,59.75,77.86,-3.72
23.06.2021,63.52,62.84,64.12,62.84,31.27,0.98
22.06.2021,62.9,63.87,64.0,62.32,16.61,-1.27
21.06.2021,63.72,63.01,64.04,61.81,34.14,0.7
18.06.2021,63.28,63.53,63.94,61.67,62.86,-0.41
17.06.2021,63.53,64.44,64.63,63.15,30.33,-1.5
16.06.2021,64.5,64.57,65.32,64.17,51.37,-3.72
15.06.2021,67.0,67.65,68.19,66.44,41.43,-0.89
14.06.2021,67.6,68.13,68.75,67.06,27.39,-0.62
11.06.2021,68.02,67.68,68.59,66.4,49.91,0.77
10.06.2021,67.5,66.0,67.5,65.78,47.71,2.66
09.06.2021,65.75,64.47,65.86,63.78,33.29,1.85
